"Date","Egg Class","Market Name","Delivery Name","Price Unit","Low Price","High Price","Grade","Mostly Low","Mostly High"
2013-02-04,"LARGE","CALIFORNIA","INVOICE","CENTS PER DOZEN",171,171,NA,NA,NA
2013-02-04,"JUMBO","CALIFORNIA","INVOICE","CENTS PER DOZEN",182,182,NA,NA,NA
2013-02-04,"EXTRA LARGE","CALIFORNIA","INVOICE","CENTS PER DOZEN",175,175,NA,NA,NA
2013-02-04,"LARGE","CALIFORNIA","INVOICE","CENTS PER DOZEN",171,171,NA,NA,NA
2013-02-04,"MEDIUM","CALIFORNIA","INVOICE","CENTS PER DOZEN",139,139,NA,NA,NA
2013-02-04,"MEDIUM","CALIFORNIA","INVOICE","CENTS PER DOZEN",139,139,NA,NA,NA
2013-02-04,"EXTRA LARGE","CALIFORNIA","INVOICE","CENTS PER DOZEN",175,175,NA,NA,NA
2013-02-04,"JUMBO","CALIFORNIA","INVOICE","CENTS PER DOZEN",182,182,NA,NA,NA
2013-02-04,"LARGE","CHICAGO","DELIVERED STORE DOOR","CENTS PER DOZEN",137,145,NA,138,140
2013-02-04,"SMALL","IOWA-MINNESOTA-WISCONSIN","PAID TO PRODUCERS","CENTS PER DOZEN",60,66,NA,NA,NA
2013-02-04,"MEDIUM","MIDWEST","WAREHOUSE","CENTS PER DOZEN",101,110,"A",103,106
2013-02-04,"LARGE","MIDWEST","WAREHOUSE","CENTS PER DOZEN",131,140,"A",133,136
2013-02-04,"EXTRA LARGE","MIDWEST","WAREHOUSE","CENTS PER DOZEN",132,141,"A",135,138
2013-02-04,"MEDIUM","IOWA-MINNESOTA-WISCONSIN","PAID TO PRODUCERS","CENTS PER DOZEN",83,87,NA,85,NA
2013-02-04,"LARGE","IOWA-MINNESOTA-WISCONSIN","PAID TO PRODUCERS","CENTS PER DOZEN",113,123,NA,117,NA
2013-02-04,"EXTRA LARGE","CHICAGO","DELIVERED STORE DOOR","CENTS PER DOZEN",139,147,NA,140,142
2013-02-04,"MEDIUM","CHICAGO","DELIVERED STORE DOOR","CENTS PER DOZEN",107,115,NA,108,110
2013-02-05,"MEDIUM","CALIFORNIA","INVOICE","CENTS PER DOZEN",139,139,NA,NA,NA
2013-02-05,"JUMBO","CALIFORNIA","INVOICE","CENTS PER DOZEN",182,182,NA,NA,NA
2013-02-05,"EXTRA LARGE","CALIFORNIA","INVOICE","CENTS PER DOZEN",175,175,NA,NA,NA
2013-02-05,"LARGE","CALIFORNIA","INVOICE","CENTS PER DOZEN",171,171,NA,NA,NA
2013-02-05,"LARGE","CHICAGO","DELIVERED STORE DOOR","CENTS PER DOZEN",137,145,NA,138,140
2013-02-05,"EXTRA LARGE","CHICAGO","DELIVERED STORE DOOR","CENTS PER DOZEN",139,147,NA,140,142
2013-02-05,"MEDIUM","CHICAGO","DELIVERED STORE DOOR","CENTS PER DOZEN",107,115,NA,108,110
2013-02-05,"LARGE","IOWA-MINNESOTA-WISCONSIN","PAID TO PRODUCERS","CENTS PER DOZEN",110,120,NA,114,NA
2013-02-05,"MEDIUM","IOWA-MINNESOTA-WISCONSIN","PAID TO PRODUCERS","CENTS PER DOZEN",80,84,NA,82,NA
2013-02-05,"SMALL","IOWA-MINNESOTA-WISCONSIN","PAID TO PRODUCERS","CENTS PER DOZEN",57,63,NA,NA,NA
2013-02-05,"MEDIUM","MIDWEST","WAREHOUSE","CENTS PER DOZEN",101,110,"A",103,106
2013-02-05,"LARGE","MIDWEST","WAREHOUSE","CENTS PER DOZEN",131,140,"A",133,136
2013-02-05,"EXTRA LARGE","MIDWEST","WAREHOUSE","CENTS PER DOZEN",132,141,"A",135,138
2013-02-06,"LARGE","CALIFORNIA","INVOICE","CENTS PER DOZEN",171,171,NA,NA,NA
2013-02-06,"JUMBO","CALIFORNIA","INVOICE","CENTS PER DOZEN",182,182,NA,NA,NA
2013-02-06,"EXTRA LARGE","CALIFORNIA","INVOICE","CENTS PER DOZEN",175,175,NA,NA,NA
2013-02-06,"MEDIUM","CALIFORNIA","INVOICE","CENTS PER DOZEN",139,139,NA,NA,NA
2013-02-06,"LARGE","CHICAGO","DELIVERED STORE DOOR","CENTS PER DOZEN",137,145,NA,138,140
2013-02-06,"MEDIUM","MIDWEST","WAREHOUSE","CENTS PER DOZEN",101,110,"A",103,106
2013-02-06,"MEDIUM","IOWA-MINNESOTA-WISCONSIN","PAID TO PRODUCERS","CENTS PER DOZEN",75,79,NA,77,NA
2013-02-06,"EXTRA LARGE","CHICAGO","DELIVERED STORE DOOR","CENTS PER DOZEN",139,147,NA,140,142
2013-02-06,"EXTRA LARGE","MIDWEST","WAREHOUSE","CENTS PER DOZEN",132,141,"A",135,138
2013-02-06,"SMALL","IOWA-MINNESOTA-WISCONSIN","PAID TO PRODUCERS","CENTS PER DOZEN",54,60,NA,NA,NA
2013-02-06,"LARGE","MIDWEST","WAREHOUSE","CENTS PER DOZEN",131,140,"A",133,136
2013-02-06,"MEDIUM","CHICAGO","DELIVERED STORE DOOR","CENTS PER DOZEN",107,115,NA,108,110
2013-02-06,"LARGE","IOWA-MINNESOTA-WISCONSIN","PAID TO PRODUCERS","CENTS PER DOZEN",105,115,NA,109,NA
2013-02-07,"LARGE","CALIFORNIA","INVOICE","CENTS PER DOZEN",171,171,NA,NA,NA
2013-02-07,"JUMBO","CALIFORNIA","INVOICE","CENTS PER DOZEN",182,182,NA,NA,NA
2013-02-07,"EXTRA LARGE","CALIFORNIA","INVOICE","CENTS PER DOZEN",175,175,NA,NA,NA
2013-02-07,"MEDIUM","CALIFORNIA","INVOICE","CENTS PER DOZEN",139,139,NA,NA,NA
2013-02-07,"SMALL","IOWA-MINNESOTA-WISCONSIN","PAID TO PRODUCERS","CENTS PER DOZEN",47,53,NA,NA,NA
2013-02-07,"LARGE","CHICAGO","DELIVERED STORE DOOR","CENTS PER DOZEN",137,145,NA,138,140
2013-02-07,"EXTRA LARGE","MIDWEST","WAREHOUSE","CENTS PER DOZEN",132,141,"A",135,138
2013-02-07,"EXTRA LARGE","CHICAGO","DELIVERED STORE DOOR","CENTS PER DOZEN",139,147,NA,140,142
2013-02-07,"LARGE","IOWA-MINNESOTA-WISCONSIN","PAID TO PRODUCERS","CENTS PER DOZEN",98,108,NA,102,NA
2013-02-07,"MEDIUM","CHICAGO","DELIVERED STORE DOOR","CENTS PER DOZEN",107,115,NA,108,110
2013-02-07,"MEDIUM","MIDWEST","WAREHOUSE","CENTS PER DOZEN",101,110,"A",103,106
2013-02-07,"MEDIUM","IOWA-MINNESOTA-WISCONSIN","PAID TO PRODUCERS","CENTS PER DOZEN",68,72,NA,70,NA
2013-02-07,"LARGE","MIDWEST","WAREHOUSE","CENTS PER DOZEN",131,140,"A",133,136
2013-02-08,"EXTRA LARGE","SOUTHERN CALIFORNIA","DELIVERED STORE DOOR","CENTS PER DOZEN",314,330,NA,NA,NA
2013-02-08,"MEDIUM","CALIFORNIA","INVOICE","CENTS PER DOZEN",139,139,NA,NA,NA
2013-02-08,"JUMBO","CALIFORNIA","INVOICE","CENTS PER DOZEN",182,182,NA,NA,NA
2013-02-08,"JUMBO","SOUTHERN CALIFORNIA","DELIVERED STORE DOOR","CENTS PER DOZEN",328,352,NA,NA,NA
2013-02-08,"EXTRA LARGE","CALIFORNIA","INVOICE","CENTS PER DOZEN",175,175,NA,NA,NA
2013-02-08,"MEDIUM","SOUTHERN CALIFORNIA","DELIVERED STORE DOOR","CENTS PER DOZEN",238,254,NA,NA,NA
2013-02-08,"LARGE","SOUTHERN CALIFORNIA","DELIVERED STORE DOOR","CENTS PER DOZEN",296,320,NA,NA,NA
2013-02-08,"LARGE","CALIFORNIA","INVOICE","CENTS PER DOZEN",171,171,NA,NA,NA
2013-02-08,"EXTRA LARGE","MIDWEST","WAREHOUSE","CENTS PER DOZEN",132,141,"A",135,138
2013-02-08,"SMALL","IOWA-MINNESOTA-WISCONSIN","PAID TO PRODUCERS","CENTS PER DOZEN",45,51,NA,NA,NA
2013-02-08,"LARGE","MIDWEST","WAREHOUSE","CENTS PER DOZEN",131,140,"A",133,136
2013-02-08,"MEDIUM","IOWA-MINNESOTA-WISCONSIN","PAID TO PRODUCERS","CENTS PER DOZEN",60,64,NA,62,NA
2013-02-08,"LARGE","CHICAGO","DELIVERED STORE DOOR","CENTS PER DOZEN",137,145,NA,138,140
2013-02-08,"MEDIUM","MIDWEST","WAREHOUSE","CENTS PER DOZEN",101,110,"A",103,106
2013-02-08,"EXTRA LARGE","CHICAGO","DELIVERED STORE DOOR","CENTS PER DOZEN",139,147,NA,140,142
2013-02-08,"MEDIUM","CHICAGO","DELIVERED STORE DOOR","CENTS PER DOZEN",107,115,NA,108,110
2013-02-08,"LARGE","IOWA-MINNESOTA-WISCONSIN","PAID TO PRODUCERS","CENTS PER DOZEN",90,100,NA,94,NA
2013-02-11,"MEDIUM","CALIFORNIA","INVOICE","CENTS PER DOZEN",118,118,NA,NA,NA
2013-02-11,"JUMBO","CALIFORNIA","INVOICE","CENTS PER DOZEN",169,169,NA,NA,NA
2013-02-11,"EXTRA LARGE","CALIFORNIA","INVOICE","CENTS PER DOZEN",155,155,NA,NA,NA
2013-02-11,"LARGE","CALIFORNIA","INVOICE","CENTS PER DOZEN",151,151,NA,NA,NA
2013-02-11,"MEDIUM","MIDWEST","WAREHOUSE","CENTS PER DOZEN",78,87,"A",80,83
2013-02-11,"SMALL","IOWA-MINNESOTA-WISCONSIN","PAID TO PRODUCERS","CENTS PER DOZEN",45,51,NA,NA,NA
2013-02-11,"LARGE","MIDWEST","WAREHOUSE","CENTS PER DOZEN",108,117,"A",110,113
2013-02-11,"LARGE","CHICAGO","DELIVERED STORE DOOR","CENTS PER DOZEN",114,122,NA,115,117
2013-02-11,"MEDIUM","IOWA-MINNESOTA-WISCONSIN","PAID TO PRODUCERS","CENTS PER DOZEN",60,64,NA,62,NA
2013-02-11,"LARGE","IOWA-MINNESOTA-WISCONSIN","PAID TO PRODUCERS","CENTS PER DOZEN",88,98,NA,92,NA
2013-02-11,"MEDIUM","CHICAGO","DELIVERED STORE DOOR","CENTS PER DOZEN",84,92,NA,85,87
2013-02-11,"EXTRA LARGE","MIDWEST","WAREHOUSE","CENTS PER DOZEN",109,118,"A",112,115
2013-02-11,"EXTRA LARGE","CHICAGO","DELIVERED STORE DOOR","CENTS PER DOZEN",116,124,NA,117,119
2013-02-12,"EXTRA LARGE","CALIFORNIA","INVOICE","CENTS PER DOZEN",155,155,NA,NA,NA
2013-02-12,"JUMBO","CALIFORNIA","INVOICE","CENTS PER DOZEN",169,169,NA,NA,NA
2013-02-12,"MEDIUM","CALIFORNIA","INVOICE","CENTS PER DOZEN",118,118,NA,NA,NA
2013-02-12,"LARGE","CALIFORNIA","INVOICE","CENTS PER DOZEN",151,151,NA,NA,NA
2013-02-12,"LARGE","CHICAGO","DELIVERED STORE DOOR","CENTS PER DOZEN",114,122,NA,115,117
2013-02-12,"EXTRA LARGE","CHICAGO","DELIVERED STORE DOOR","CENTS PER DOZEN",116,124,NA,117,119
2013-02-12,"LARGE","MIDWEST","WAREHOUSE","CENTS PER DOZEN",108,117,"A",110,113
2013-02-12,"EXTRA LARGE","MIDWEST","WAREHOUSE","CENTS PER DOZEN",109,118,"A",112,115
