"region","Gross cash income","cfap","cows","cs","cfap_CA","cows_CA","cs_CA"
"Alabama",6292586,2.97867986992947,6.4001191243155,4.0100683566343,NA,NA,NA
"Alaska",60716,1.91942954081297,8.04236115686145,0,NA,NA,NA
"Arizona",5474014,2.40448211805816,25.4890287090972,0.84314727729962,NA,NA,NA
"Arkansas",10988817,2.92042745019778,3.34392683034034,14.8412426924573,NA,NA,NA
"California",54249965,3.47949492629166,18.1048577635027,0.0854710228845309,3.47949492629166,18.1048577635027,0.0854710228845309
"Colorado",8444939,4.56821829157084,35.2405150587825,6.96786560566038,NA,NA,NA
"Connecticut",734261,3.77518465368581,13.1046044934975,0,NA,NA,NA
"Delaware",1521902,1.39542412520648,1.19902595567914,12.1334356614289,NA,NA,NA
"Florida",8686945,4.47488485491735,10.9219754470645,0.439360442595182,NA,NA,NA
"Georgia",10563631,3.12848971428479,6.24584482362173,2.61274745397676,NA,NA,NA
"Hawaii",661284,5.34260129384652,6.25858178936735,0,NA,NA,NA
"Idaho",8726221,5.73036971089776,48.7226945088831,1.57517211631473,NA,NA,NA
"Illinois",19870398,6.43932556801328,4.93299630938444,56.6711346194475,NA,NA,NA
"Indiana",12904090,5.16569412992315,7.88324476968155,42.8849302817944,NA,NA,NA
"Iowa",32572919,6.51649282193592,11.0762102714835,40.6101706758304,NA,NA,NA
"Kansas",19395057,5.76140603809517,27.4466942788567,22.6511528169265,NA,NA,NA
"Kentucky",6862975,5.66096636210973,12.6705692502158,24.1086409319573,NA,NA,NA
"Louisiana",3853020,5.63836607725888,5.92742835490083,18.3296998198815,NA,NA,NA
"Maine",784878,7.17555264639855,17.8369122334936,0,NA,NA,NA
"Maryland",2724191,2.5829763401318,8.49742180339044,18.0961246843558,NA,NA,NA
"Massachusetts",584637,6.304812562325,7.70905707302138,0,NA,NA,NA
"Michigan",8697788,6.16915035742421,28.0749082410378,17.2053400243832,NA,NA,NA
"Minnesota",20465094,6.99757684328252,15.8043495915533,32.1616651259945,NA,NA,NA
"Mississippi",6860021,3.47350682906073,3.0722209159418,16.4760282803799,NA,NA,NA
"Missouri",11823908,6.71318699536566,17.6640329068866,31.3914654951645,NA,NA,NA
"Montana",4396413,10.1580310225632,29.4574690776322,0.479709253884928,NA,NA,NA
"Nebraska",24261635,6.45602285443665,23.3913666576882,35.5550893416705,NA,NA,NA
"Nevada",792650,5.96762976975967,47.1249605752854,0,NA,NA,NA
"New Hampshire",264564,4.17050560544897,20.1784823331973,0,NA,NA,NA
"New Jersey",1448350,3.89158314771982,1.81799979286775,5.11520005523527,NA,NA,NA
"New Mexico",3526491,5.70749187591858,59.527133345867,0.808509081690553,NA,NA,NA
"New York",6174115,7.33085885102561,50.5064936432185,7.07586431415677,NA,NA,NA
"North Carolina",12957057,2.38215422128652,3.09414398655497,7.06617251124233,NA,NA,NA
"North Dakota",10479357,7.34687478935969,9.43761148704066,24.8840172159418,NA,NA,NA
"Ohio",10790272,5.15862857581347,14.9610315662107,32.8020090689095,NA,NA,NA
"Oklahoma",7957522,8.30595064116694,33.9982094928547,3.62753631092694,NA,NA,NA
"Oregon",5605249,4.70337646463163,20.977961906777,0.899157200688141,NA,NA,NA
"Pennsylvania",7898333,4.47271102256641,31.6224575489537,10.6569702746136,NA,NA,NA
"Rhode Island",78967,4.67018468474173,3.33177149948713,0,NA,NA,NA
"South Carolina",2929564,2.84294718838708,5.2965560745558,8.44808305945868,NA,NA,NA
"South Dakota",12061963,8.60650434353015,22.105705348292,25.3021336576808,NA,NA,NA
"Tennessee",4260075,6.79011231914931,13.5019923358157,27.8346977459317,NA,NA,NA
"Texas",26499353,5.06626840855322,37.2265164360805,4.59072717737675,NA,NA,NA
"Utah",2003889,6.74234244611353,42.9585670663395,0.797798680465834,NA,NA,NA
"Vermont",898450,8.54274193555568,64.6847348210808,0,NA,NA,NA
"Virginia",4215302,5.10208271720508,15.1788175556579,9.29717491178568,NA,NA,NA
"Washington",10229002,3.91990789384927,19.3810500770261,0.803792979999417,NA,NA,NA
"West Virginia",788066,5.8382916849604,22.1458608796725,3.26203642842097,NA,NA,NA
"Wisconsin",12938134,8.08583700547544,56.5230581164177,16.9193331897784,NA,NA,NA
"Wyoming",1701552,8.8469913302679,42.4437219667692,1.67088634376146,NA,NA,NA
"United States",4389605.82,5.39826791931399,20.267308876495,18.0553088933165,5.39826791931399,20.267308876495,18.0553088933165
